Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
32,1.0277777777777777,100,100,100,100,100,100,100,100,37,37,37,37,37,37,37,37,37,37,39,54,48,37,37,37,37,45,37,270,21.003246307373047,35.9959602355957,26.003122329711914,122.00236320495605,17.993450164794922,18.999576568603516,17.002105712890625,18.999576568603516,20.998477935791016,24.9941349029541,16.001224517822266
32,1.069767441860465,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,46,46,54,84,83,54,62,65,67,55,46,348,23.000717163085938,49.99899864196777,49.00026321411133,139.998197555542,25.00176429748535,27.00042724609375,33.99920463562012,31.00132942199707,29.00218963623047,15.99740982055664,14.001131057739258
96,1.009009009009009,0,100,100,100,100,100,100,0,124,112,112,112,112,112,112,144,112,112,264,166,152,123,120,121,120,243,112,210,148.00214767456055,124.00317192077637,97.99551963806152,120.00012397766113,78.00173759460449,65.0014877319336,64.00012969970703,70.99485397338867,125.00357627868652,23.999929428100586,16.999244689941406
64,1.0847457627118644,0,100,0,0,100,100,100,0,122,64,94,86,64,64,64,90,64,64,1810,98,1451,401,75,74,76,397,64,581,854.9978733062744,58.004140853881836,893.9988613128662,264.00279998779297,167.99688339233398,30.998706817626953,41.0001277923584,41.002511978149414,175.99749565124512,15.997171401977539,15.001296997070312
256,1.0113636363636365,0,0,0,0,0,0,0,0,291,329,349,291,289,285,283,311,267,267,903,2474,2600,909,884,836,924,601,267,2857,444.0014362335205,5434.001445770264,2470.9978103637695,1227.9980182647705,422.00183868408203,470.99971771240234,417.9995059967041,438.0009174346924,301.00345611572266,16.001462936401367,16.996145248413086
256,1.0042918454935623,0,0,0,0,0,0,0,0,300,282,282,268,256,260,262,306,234,234,1463,3590,3180,851,696,748,753,947,234,2255,688.9975070953369,7800.00376701355,3881.9961547851562,1431.997299194336,465.9991264343262,394.00410652160645,384.9973678588867,367.0027256011963,471.9984531402588,12.996912002563477,19.00005340576172
64,1.1372549019607843,0,0,0,100,100,100,100,100,64,62,62,58,58,58,58,58,58,58,78,86,78,66,62,66,71,64,58,326,38.99836540222168,69.00215148925781,60.99963188171387,144.99926567077637,33.99968147277832,31.998634338378906,49.00169372558594,37.99843788146973,50.0028133392334,12.99595832824707,13.001441955566406
32,1.03125,0,100,100,100,100,100,100,100,35,33,33,33,33,33,33,33,33,33,37,35,33,33,33,33,33,36,33,280,21.997690200805664,22.001028060913086,15.99884033203125,121.0019588470459,22.998332977294922,18.000364303588867,15.002727508544922,13.996362686157227,15.00082015991211,18.999576568603516,12.000799179077148
64,1.0103092783505154,0,100,100,100,0,0,0,0,120,98,98,98,110,110,110,102,98,98,249,188,178,130,162,168,170,134,98,1709,114.00032043457031,206.9997787475586,125.99992752075195,1029.0038585662842,88.99474143981934,102.00095176696777,88.00268173217773,80.99770545959473,59.99898910522461,14.99629020690918,15.001535415649414
256,1.0291666666666666,0,0,0,0,0,0,0,0,373,277,341,379,379,379,377,393,247,247,1771,2369,1594,1770,1759,1691,1709,1249,247,7396,1132.9998970031738,5193.002462387085,1789.9975776672363,6530.5280685424805,877.9973983764648,910.0015163421631,893.9964771270752,885.9982490539551,606.0004234313965,16.000986099243164,19.002914428710938
128,1.0333333333333334,0,0,0,0,0,0,0,0,129,95,131,97,95,95,95,141,93,93,297,211,411,112,116,126,138,267,93,716,124.9990463256836,124.99642372131348,241.00637435913086,395.9958553314209,51.001787185668945,49.99971389770508,53.99751663208008,64.99886512756348,126.00493431091309,12.000799179077148,11.002779006958008
64,1.6326530612244898,0,100,0,0,100,100,100,0,84,80,82,82,80,80,80,88,80,80,321,306,294,239,187,153,130,235,80,771,167.9978370666504,206.00295066833496,150.00152587890625,382.04002380371094,121.96183204650879,86.01045608520508,91.98331832885742,69.0000057220459,105.00717163085938,50.00042915344238,19.996166229248047
32,1.0333333333333334,100,100,100,100,100,100,100,100,31,31,31,31,31,31,31,31,31,31,31,39,38,31,31,31,31,33,31,185,15.001773834228516,46.99873924255371,36.00001335144043,65.00506401062012,12.021303176879883,13.973474502563477,12.002944946289062,12.02249526977539,13.006210327148438,15.001535415649414,16.999483108520508
64,1.0144927536231885,0,0,0,100,100,100,100,0,88,72,72,70,70,70,70,76,70,70,505,102,99,76,77,79,79,82,70,603,222.19061851501465,67.99912452697754,64.00442123413086,271.0278034210205,34.97195243835449,29.999256134033203,31.000137329101562,31.002044677734375,30.99799156188965,10.999441146850586,10.000467300415039
128,1.0104166666666667,0,0,0,0,100,100,0,0,145,103,103,131,97,97,99,145,97,97,460,272,267,470,342,202,206,340,97,968,214.02955055236816,215.9733772277832,129.99796867370605,426.00154876708984,257.99560546875,196.0000991821289,129.00114059448242,146.00419998168945,215.99984169006348,10.000467300415039,10.00070571899414
128,1.0081967213114753,0,100,100,100,100,100,100,0,127,123,123,123,123,123,123,169,123,123,203,272,267,124,126,129,145,362,123,2461,144.99759674072266,332.99994468688965,212.9995822906494,1266.003131866455,155.99799156188965,99.99871253967285,64.99719619750977,72.99947738647461,213.00292015075684,26.99422836303711,25.99811553955078
