From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
maze,maze512-8-5.png,300x300,1.053191489361702,0,0,0,0,0,0,0,0,109,111,111,101,103,105,101,111,99,95,263,400,450,114,122,153,173,240,99,435,27.995586395263672,79.51068878173828,124.55463409423828,35.00032424926758,13.002157211303711,13.003826141357422,16.53766632080078,18.999814987182617,24.997472763061523,1304.8210144042969,1192.0714378356934
maze,maze512-8-6.png,300x300,1.2513966480446927,0,0,0,0,0,0,0,0,250,276,276,244,244,240,242,306,224,186,1271,3135,3091,1488,1503,1566,1621,749,224,1417,144.51932907104492,1529.4194221496582,1713.9873504638672,142.55166053771973,158.7209701538086,166.2881374359131,169.04401779174805,170.0279712677002,82.63087272644043,1323.5979080200195,1305.8319091796875
maze,maze512-8-7.png,300x300,1.0030211480362539,0,0,0,0,0,0,0,0,386,418,418,378,366,382,392,406,332,332,792,4568,4294,814,895,1148,1335,635,332,20033,86.51924133300781,2845.3569412231445,2680.2375316619873,1580.1241397857666,87.49604225158691,93.58406066894531,121.51002883911133,145.05648612976074,78.51791381835938,1515.8922672271729,1477.809190750122
maze,maze512-8-8.png,300x300,1.1715976331360947,0,0,0,0,0,0,0,0,220,262,268,218,218,254,222,274,198,180,1999,1941,2191,1977,1994,1991,2010,911,198,3564,254.58407402038574,656.1477184295654,823.2486248016357,399.63579177856445,192.0762062072754,193.0549144744873,199.0792751312256,201.01308822631836,91.50886535644531,1392.9517269134521,1194.8556900024414
maze,maze512-8-9.png,300x300,1.1141732283464567,0,0,0,0,0,0,0,0,351,505,525,345,327,325,301,361,283,257,1069,4748,5168,1097,1164,1218,1089,715,283,5916,131.52170181274414,3611.2399101257324,4141.869068145752,473.02746772766113,115.5240535736084,121.03676795959473,124.55439567565918,111.53984069824219,77.58522033691406,1344.850778579712,1418.7018871307373
street,Berlin_0_1024.png,300x300,1.0060240963855422,0,0,0,0,0,0,0,0,203,171,171,209,209,209,209,247,167,167,984,1209,1114,1168,1240,1304,1331,749,167,3937,117.50650405883789,371.1693286895752,373.5518455505371,306.60033226013184,118.50094795227051,123.53658676147461,130.0356388092041,132.53021240234375,75.4852294921875,1614.6211624145508,1242.748737335205
street,Berlin_0_256.png,256x256,1.0848214285714286,0,0,0,0,0,0,0,0,297,305,295,297,295,293,293,349,243,243,935,5561,3355,865,860,807,856,619,243,8933,132.0321559906006,2697.000503540039,1787.0879173278809,712.7666473388672,87.5391960144043,88.52791786193848,83.55212211608887,87.56875991821289,64.99719619750977,930.217981338501,749.6786117553711
street,Berlin_0_512.png,300x300,1.5323383084577114,0,0,0,0,0,0,0,0,368,434,402,366,366,368,366,376,308,308,2482,4970,4086,2482,2392,2485,2509,1530,308,7473,305.55176734924316,3301.330804824829,2454.601287841797,795.2959537506104,353.63316535949707,330.7385444641113,362.1551990509033,342.81349182128906,239.0305995941162,1206.7389488220215,1302.7939796447754
street,Berlin_1_1024.png,300x300,1.2852348993288591,0,0,0,0,0,0,0,0,407,439,407,401,401,427,425,451,383,383,4680,8346,4948,4706,5421,5270,5208,3078,383,10934,631.1829090118408,7184.525489807129,3589.967727661133,1312.1604919433594,498.66414070129395,578.1662464141846,558.2334995269775,559.1468811035156,316.6775703430176,1778.7227630615234,1434.9439144134521
street,Berlin_1_256.png,256x256,1.0326797385620916,0,0,0,0,0,0,0,0,176,170,170,170,166,168,168,176,158,158,215,1325,1171,205,246,255,281,198,158,2974,27.99391746520996,438.66920471191406,356.2300205230713,408.97393226623535,23.496150970458984,27.002573013305664,29.002666473388672,31.51845932006836,23.001670837402344,862.1115684509277,776.2396335601807
