From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
street,Paris_2_1024.png,300x300,1.0583501006036218,0,0,0,0,0,0,0,0,622,832,902,630,628,624,658,704,526,522,15375,15532,22461,16051,17118,17226,16506,14632,526,20386,1705.9698104858398,69613.58451843262,55424.9632358551,1841.7744636535645,1544.8360443115234,1714.888334274292,1672.879695892334,1598.9723205566406,1578.1488418579102,1551.4106750488281,1339.8857116699219
street,Paris_2_256.png,256x256,1.3181818181818181,0,0,0,0,0,0,0,0,353,529,495,339,337,335,357,357,319,319,2833,7951,6932,2551,2619,2528,2550,1605,319,8376,443.8128471374512,13894.20485496521,5184.096097946167,792.3088073730469,257.6320171356201,257.07530975341797,251.58309936523438,262.24374771118164,158.49900245666504,790.2202606201172,956.6364288330078
street,Paris_2_512.png,300x300,1.01,0,0,0,0,0,0,0,0,109,115,137,113,111,111,121,113,101,101,556,453,936,674,830,807,901,372,101,121,70.00327110290527,135.03742218017578,345.2320098876953,9.008646011352539,68.0241584777832,80.51705360412598,80.55877685546875,95.32546997070312,37.035226821899414,1462.0349407196045,1838.9220237731934
street,Shanghai_0_1024.png,300x300,1.0029239766081872,0,0,0,0,0,0,0,0,397,689,635,445,451,441,389,517,343,343,7835,15085,13274,5321,4964,4507,883,2933,343,7705,877.7675628662109,50706.9365978241,42109.46249961853,669.8484420776367,517.5535678863525,483.59036445617676,461.58623695373535,98.51932525634766,295.635461807251,1695.6508159637451,1346.8260765075684
street,Shanghai_0_256.png,256x256,1.1590909090909092,0,0,0,0,0,0,0,0,433,573,663,473,457,469,481,523,357,357,3208,6689,11807,6030,4569,4796,5205,2488,357,11562,372.56646156311035,12339.295864105225,34236.079454422,1387.9618644714355,609.6458435058594,475.7571220397949,474.623441696167,527.6608467102051,266.65687561035156,797.2202301025391,853.7213802337646
street,Shanghai_0_512.png,300x300,1.0119047619047619,0,0,0,0,0,0,0,0,103,131,135,107,101,107,107,119,85,85,455,1083,1414,391,564,523,510,178,85,85,59.004783630371094,434.1113567352295,591.2728309631348,12.213706970214844,39.313316345214844,54.00562286376953,52.51121520996094,49.00312423706055,21.54541015625,1349.2372035980225,1184.5169067382812
street,Shanghai_1_1024.png,300x300,1.0036101083032491,0,0,0,0,0,0,0,0,316,594,580,312,312,314,316,316,278,278,758,9127,15135,778,802,873,893,396,278,6120,91.0029411315918,20520.10488510132,61251.91283226013,489.6705150604248,80.51133155822754,81.5131664276123,92.50950813293457,99.52449798583984,46.02527618408203,1489.8107051849365,1180.2566051483154
street,Shanghai_1_256.png,256x256,1.0103092783505154,0,0,0,0,0,0,0,0,114,148,144,112,116,110,110,108,98,98,226,506,497,240,310,289,313,166,98,98,38.52415084838867,140.5160427093506,142.53544807434082,13.194084167480469,25.059938430786133,34.99865531921387,29.001474380493164,36.54289245605469,18.008947372436523,792.1338081359863,710.681676864624
street,Shanghai_1_512.png,300x300,1.0031347962382444,0,0,0,0,0,0,0,0,346,552,466,364,362,364,366,368,320,320,732,9153,7898,1023,1228,1454,1643,577,320,11588,144.64378356933594,16996.254205703735,11857.0237159729,1008.373498916626,120.52488327026367,138.50641250610352,148.0252742767334,181.76889419555664,64.98956680297852,1450.340747833252,1170.2978610992432
street,Shanghai_2_1024.png,300x300,1.0050251256281406,0,0,0,100,100,100,0,0,220,388,356,200,200,200,220,220,200,200,270,9197,7966,211,233,251,305,236,200,208,39.51740264892578,25200.14500617981,17726.7963886261,17.510414123535156,25.989532470703125,25.997161865234375,27.033567428588867,38.484811782836914,27.017831802368164,1872.5526332855225,1393.3136463165283
street,Shanghai_2_256.png,256x256,1.1715481171548117,0,0,0,0,0,0,0,0,448,540,742,478,502,522,480,520,280,280,3661,16293,19175,3952,3487,3627,3326,3278,280,3363,388.0636692047119,34713.603019714355,65609.66110229492,273.59628677368164,394.1938877105713,337.5980854034424,352.0963191986084,330.54351806640625,319.6542263031006,819.7546005249023,716.7699337005615
street,Shanghai_2_512.png,300x300,1.0089285714285714,0,0,0,0,0,0,0,0,141,171,173,141,143,137,139,141,113,113,654,1569,1507,656,680,494,342,476,113,113,109.03549194335938,759.6325874328613,948.897123336792,9.996891021728516,66.00165367126465,74.52249526977539,63.527584075927734,42.063236236572266,62.546491622924805,1418.3380603790283,1234.419345855713
street,Sydney_0_1024.png,300x300,1.0084033613445378,0,0,0,0,0,0,0,0,136,188,200,138,142,146,138,138,120,120,189,2104,2257,227,239,262,258,176,120,1480,31.99934959411621,1193.2642459869385,1195.3024864196777,119.89521980285645,24.9783992767334,24.99985694885254,28.006792068481445,27.524709701538086,20.000696182250977,1421.3509559631348,1236.8900775909424
street,Sydney_0_256.png,256x256,1.0039370078740157,0,0,0,0,0,0,0,0,275,383,331,277,287,281,285,263,255,255,440,2139,1714,519,733,798,852,316,255,11200,79.5140266418457,1235.7237339019775,849.7893810272217,1049.4613647460938,64.51225280761719,83.00375938415527,86.49969100952148,97.52821922302246,39.312124252319336,746.1721897125244,864.2351627349854
street,Sydney_0_512.png,300x300,1.0036231884057971,0,0,0,0,0,0,0,0,311,535,515,307,293,339,343,353,277,277,1224,7578,11232,2543,1324,1105,1132,714,277,3260,241.03617668151855,19281.588554382324,35572.22676277161,287.92548179626465,259.05466079711914,181.09774589538574,113.51585388183594,129.0445327758789,77.00490951538086,1390.3508186340332,1953.7928104400635
street,Sydney_1_1024.png,300x300,1.010989010989011,0,0,0,0,0,0,0,0,122,156,160,124,124,128,130,120,92,92,829,1697,1607,844,843,1185,865,214,92,1170,102.51879692077637,865.915060043335,818.9010620117188,98.48475456237793,84.51390266418457,90.4393196105957,164.06726837158203,96.55880928039551,21.99697494506836,1772.8500366210938,1253.911018371582
street,Sydney_1_256.png,256x256,1.0024875621890548,0,0,0,0,0,0,0,0,413,789,779,421,423,429,427,425,403,403,2319,9624,9693,3987,3812,4027,3768,2253,403,30122,273.53477478027344,29244.11678314209,30994.48275566101,2586.4670276641846,476.656436920166,429.095983505249,451.5218734741211,455.7173252105713,243.32070350646973,820.6832408905029,868.3500289916992
street,Sydney_1_512.png,300x300,1.0039525691699605,0,0,0,0,0,0,0,0,262,406,342,276,266,266,278,264,254,254,323,3676,4357,435,527,545,617,332,254,11096,70.5418586730957,5533.947706222534,5768.438339233398,968.017578125,54.99458312988281,62.52741813659668,63.968658447265625,70.0078010559082,39.572954177856445,1414.6296977996826,2000.643014907837
street,Sydney_2_1024.png,300x300,1.0032467532467533,0,0,0,0,0,0,0,0,343,517,509,367,339,339,345,353,309,309,577,7578,13053,685,639,672,712,467,309,12167,93.51968765258789,14003.830909729004,25363.497257232666,1033.8044166564941,76.00688934326172,69.5338249206543,77.5444507598877,83.54878425598145,52.977800369262695,1731.428623199463,2022.230625152588
street,Sydney_2_256.png,256x256,1.0032786885245901,0,0,0,0,0,0,0,0,382,460,438,402,408,396,470,428,306,306,3672,6231,8024,3887,3868,4726,5641,3133,306,306,477.6313304901123,7897.490739822388,13045.888185501099,24.998903274536133,401.108980178833,384.64999198913574,458.587646484375,585.6688022613525,340.0845527648926,927.7122020721436,744.7187900543213
street,Sydney_2_512.png,300x300,1.0105263157894737,100,0,0,0,0,0,0,0,96,148,162,106,102,104,104,102,96,96,118,776,978,135,136,141,147,117,96,2077,17.998456954956055,554.3291568756104,607.694149017334,163.53178024291992,15.562295913696289,14.997720718383789,15.99884033203125,15.997886657714844,14.623403549194336,1669.520378112793,1546.4909076690674
