Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
128,1.0113636363636365,0,0,0,0,0,0,0,0,91,115,115,95,95,95,97,93,89,89,95,615,579,110,135,144,150,102,89,89,31.51535987854004,511.61742210388184,326.5504837036133,26.51238441467285,37.000179290771484,46.0047721862793,48.51055145263672,51.00393295288086,35.51006317138672,0.0,8.999824523925781
128,1.0061728395061729,0,0,0,0,0,0,0,0,165,287,275,183,183,181,181,233,163,163,290,2154,1913,386,412,593,641,788,163,641,95.50666809082031,3883.0254077911377,1428.8897514343262,238.15441131591797,181.17833137512207,178.2364845275879,266.1886215209961,242.60711669921875,297.70469665527344,0.0,9.999275207519531
128,1.0365853658536586,0,0,0,0,0,0,0,0,91,101,95,95,93,93,91,93,85,85,92,277,294,121,128,132,135,106,85,1101,35.51602363586426,180.52339553833008,153.0303955078125,473.6201763153076,50.99844932556152,87.53752708435059,57.53302574157715,75.00934600830078,46.511173248291016,0.0,9.998798370361328
96,1.0833333333333333,100,0,0,0,0,0,0,0,65,79,79,71,71,71,71,69,65,65,67,173,167,73,76,84,86,73,65,134,23.999691009521484,119.21310424804688,107.53226280212402,53.51424217224121,30.998706817626953,31.000137329101562,35.51530838012695,35.99977493286133,57.00421333312988,0.0,12.180328369140625
256,1.047486033519553,0,0,0,0,0,0,0,0,447,759,743,437,449,449,449,511,375,375,3156,21691,17899,1938,2168,2415,2553,1831,375,26744,1119.6694374084473,341462.4900817871,116449.01967048645,17004.25696372986,771.3205814361572,836.5192413330078,925.3206253051758,1029.5014381408691,725.5585193634033,0.0,13.002157211303711
64,1.0140845070422535,0,0,0,0,0,0,0,0,94,94,94,94,84,84,84,94,72,72,256,302,302,286,196,215,238,135,72,647,94.50936317443848,218.0321216583252,160.04419326782227,271.5418338775635,103.52897644042969,73.52757453918457,82.10468292236328,92.83614158630371,50.008535385131836,0.0,9.998798370361328
128,1.00990099009901,0,0,0,0,0,0,0,0,112,148,154,122,120,116,116,128,102,102,241,952,885,241,240,259,277,232,102,450,94.5119857788086,1050.8449077606201,538.477897644043,138.2300853729248,98.51717948913574,87.52965927124023,86.00997924804688,95.07369995117188,77.2709846496582,0.0,10.515689849853516
64,1.0175438596491229,0,100,100,100,100,100,100,0,62,58,58,58,58,58,58,62,58,58,74,109,107,64,66,81,86,70,58,58,28.98883819580078,79.50997352600098,43.00379753112793,17.001867294311523,21.998167037963867,22.00150489807129,27.007579803466797,28.106689453125,23.00119400024414,0.0,9.999275207519531
32,1.025,100,100,100,100,100,100,100,100,41,41,41,41,41,41,41,41,41,41,53,64,65,43,54,59,62,59,41,41,19.001245498657227,29.998779296875,25.00176429748535,12.000083923339844,13.999700546264648,17.99917221069336,19.004344940185547,20.012617111206055,21.000385284423828,0.0,11.034488677978516
256,1.1477272727272727,0,0,0,0,0,0,0,0,355,439,471,365,359,355,363,365,303,303,2845,7918,5222,3116,3076,3134,3140,1250,303,8449,926.6831874847412,42804.20446395874,10435.063123703003,4354.760646820068,1198.7042427062988,1408.5814952850342,1203.8922309875488,1203.3815383911133,471.12345695495605,0.0,11.002063751220703
64,1.075,0,0,0,100,100,0,0,0,51,53,53,43,43,49,49,53,43,43,92,119,114,70,71,87,92,91,43,67,37.49442100524902,70.60718536376953,50.969600677490234,25.550127029418945,26.002168655395508,26.99756622314453,31.55660629272461,34.99960899353027,33.997535705566406,0.0,9.970426559448242
128,1.0074074074074073,100,0,0,0,0,0,0,0,136,176,174,140,140,138,138,138,136,136,245,3273,2878,160,185,197,208,268,136,136,109.49826240539551,6982.2187423706055,3305.1204681396484,75.51026344299316,87.51726150512695,68.0088996887207,75.52075386047363,77.52656936645508,104.51054573059082,0.0,11.00015640258789
96,1.1958762886597938,0,0,0,0,0,0,0,0,160,180,182,158,148,146,148,164,116,116,1315,1988,1986,1313,1197,1200,1264,679,116,1170,420.32361030578613,1895.3957557678223,1015.8936977386475,363.5380268096924,448.7040042877197,377.1812915802002,410.60709953308105,401.688814163208,247.09510803222656,0.0,11.490345001220703
128,1.44,0,0,0,0,0,0,0,0,126,126,128,122,132,132,132,130,108,108,1078,1248,1006,878,1068,1071,1116,527,108,2372,338.5493755340576,1376.4114379882812,587.1703624725342,765.1681900024414,278.54371070861816,339.54858779907227,337.5513553619385,392.6045894622803,164.0303134918213,0.0,10.5133056640625
64,1.0138888888888888,0,0,0,0,0,0,0,0,83,89,89,81,81,81,81,83,73,73,124,584,559,148,163,168,171,120,73,73,41.512250900268555,444.7917938232422,346.8339443206787,38.00177574157715,71.09880447387695,77.08930969238281,58.99930000305176,58.11882019042969,46.61703109741211,0.0,11.002779006958008
256,1.0043859649122806,0,0,0,0,0,0,0,0,255,371,373,257,279,283,289,263,229,229,619,4796,4124,393,529,630,675,364,229,286,297.78456687927246,18638.354778289795,6936.981201171875,106.02593421936035,155.5182933807373,290.68756103515625,254.1334629058838,278.1939506530762,149.90592002868652,0.0,12.006282806396484
32,1.0344827586206897,0,100,100,100,100,100,100,0,32,30,30,30,30,30,30,32,30,30,69,52,52,35,42,44,46,43,30,143,27.004003524780273,27.013301849365234,30.513525009155273,55.00316619873047,20.99919319152832,19.133567810058594,36.00311279296875,36.00645065307617,19.089221954345703,0.0,15.000343322753906
